"id","name","type","billingstreet","billingcity","billingstate","billingpostalcode","billingcountry","phone","fax","website","photourl","industry","annualrevenue","numberofemployees","ownership","description","accountsource","tradestyle","yearstarted","created_at","updated_at"
32,"Kulas-Howell","Prospect","291 Jedediah Knoll","Lake Heloise","Maryland","64453","United States","714-074-5104","802.381.7613 x64536","http://example.com/jude_schaefer","https://pigment.github.io/fake-logos/logos/medium/color/5.png","Clothing, Outdoors & Jewelery",9441643,81474,"Private","Autem iusto aut voluptatem magni voluptas. Vel porro nesciunt tempora temporibus sit natus. Consequatur iure provident.","Partner Referral","Realigned analyzing alliance",1981,"2016-04-06 18:23:25.887761","2016-04-06 18:23:25.887762"
33,"Stark-Brown","Prospect","467 Gerhold Avenue","Nadiaton","South Carolina","60047","United States","412-878-9366 x7831","145-047-4878","http://example.com/ahmed","https://pigment.github.io/fake-logos/logos/medium/color/9.png","Home, Games & Toys",2022211,86650,"Subsidiary","Eveniet consequuntur et. Enim sint facilis eum porro nihil ut amet. Facere distinctio accusamus. Totam perferendis accusamus error. Deleniti voluptatem natus quia optio porro sit.","Partner Referral","Public-key discrete attitude",1989,"2016-04-06 18:23:25.888285","2016-04-06 18:23:25.888286"
34,"Dickinson LLC","Prospect","92049 Chelsea Summit","New Agustina","New Mexico","50018","United States","(459) 494-8044","1-894-813-4219 x50733","http://example.com/domenic","https://pigment.github.io/fake-logos/logos/medium/color/6.png","Games",9947005,81770,"Subsidiary","Earum suscipit explicabo qui veniam aut. Culpa perferendis error voluptas consequatur accusamus. Et unde tempora.","Phone Inquiry","Phased global success",2011,"2016-04-06 18:23:25.888852","2016-04-06 18:23:25.888853"
35,"Adams-Deckow","Prospect","351 Gutkowski Skyway","West Skye","Kansas","67714-2642","United States","(346) 907-0088","(577) 635-9213 x187","http://example.com/kody.collins","https://pigment.github.io/fake-logos/logos/medium/color/1.png","Electronics",2749598,45433,"Private","Et placeat facilis. Et velit temporibus deleniti at ex quia nam. Officia assumenda hic molestiae.","Phone Inquiry","Open-source contextually-based process improvement",1994,"2016-04-06 18:23:25.889387","2016-04-06 18:23:25.889388"
36,"Douglas-Altenwerth","Prospect","94343 Schmitt Cliffs","East Gloria","Louisiana","50279","United States","716.270.4771","(965) 900-0953","http://example.com/regan.eichmann","https://pigment.github.io/fake-logos/logos/medium/color/10.png","Health & Industrial",1177198,49603,"Public","Et enim inventore sed temporibus similique rerum vel. Necessitatibus fugit est. Dolorem architecto qui mollitia sint maiores distinctio. Vitae enim illo atque unde et iste. Quaerat doloremque nemo et a est.","Partner Referral","Horizontal exuding matrix",1982,"2016-04-06 18:23:25.889849","2016-04-06 18:23:25.88985"
37,"Keebler, Halvorson and Koelpin","Prospect","544 Rene Skyway","Margueriteland","Tennessee","74802","United States","(793) 224-8664 x0971","497-472-3272","http://example.com/bernice.feest","https://pigment.github.io/fake-logos/logos/medium/color/7.png","Grocery & Jewelery",9832264,47493,"Subsidiary","Autem sit amet architecto est qui alias molestiae. Nihil id id quidem fuga aut occaecati est. Ipsa vitae laudantium officia sint eos.","Other","Versatile incremental infrastructure",2003,"2016-04-06 18:23:25.890398","2016-04-06 18:23:25.890398"
38,"White-O'Conner","Prospect","847 Trace Courts","Giovanniville","Indiana","56413-6188","United States","853-375-5062","1-319-182-7832","http://example.com/herta","https://pigment.github.io/fake-logos/logos/medium/color/11.png","Games",5653506,99535,"Other","Velit facere similique animi est nemo voluptas dolor. Aliquid necessitatibus quia saepe corrupti. In ullam ut enim quod libero sint modi.","Purchased List","Re-contextualized next generation policy",1982,"2016-04-06 18:23:25.890896","2016-04-06 18:23:25.890897"
39,"Gottlieb, Ernser and Roberts","Prospect","257 Douglas Stravenue","Conradfurt","New Jersey","72840","United States","823.313.3911","(793) 774-1278 x30899","http://example.com/courtney","https://pigment.github.io/fake-logos/logos/medium/color/9.png","Garden, Automotive & Home",6531699,18591,"Public","Molestias labore ea sed quis qui rerum modi. Perspiciatis nemo rerum. Pariatur quibusdam harum dolor illo nihil earum non.","Partner Referral","Devolved zero tolerance hardware",2010,"2016-04-06 18:23:25.891417","2016-04-06 18:23:25.891418"
40,"Gibson, Hammes and Mosciski","Prospect","8382 Lang Cliffs","Chaunceyview","Connecticut","73054","United States","(285) 155-7911 x44640","776-512-8684 x612","http://example.com/golden_sipes","https://pigment.github.io/fake-logos/logos/medium/color/5.png","Music",3291478,97787,"Private","Modi facilis voluptate. Quia quidem ipsam occaecati et odio et. Ut quia in rerum consequatur blanditiis labore.","Purchased List","Right-sized full-range challenge",2001,"2016-04-06 18:23:25.891925","2016-04-06 18:23:25.891926"
41,"Borer-Bauch","Prospect","40681 Kenton Crescent","Gorczanymouth","New Hampshire","67155-6816","United States","207-306-3923 x92658","1-100-356-3997 x3178","http://example.com/cristina_dubuque","https://pigment.github.io/fake-logos/logos/medium/color/13.png","Health",9951893,18250,"Public","Vitae eligendi a id ex. Velit quo voluptas debitis. Architecto voluptas odit labore.","Purchased List","Cloned executive model",2000,"2016-04-06 18:23:25.892407","2016-04-06 18:23:25.892408"
42,"Bednar, Dibbert and Block","Prospect","5776 Devonte Harbors","South Rocky","South Carolina","13359-8168","United States","(847) 488-6974","766-350-9304","http://example.com/rubie","https://pigment.github.io/fake-logos/logos/medium/color/11.png","Health, Outdoors & Tools",9049540,50968,"Other","Placeat nam voluptatem. Ut omnis et quam sint porro voluptas maxime. Dolor quia maiores ut illum voluptatem ipsa minus. Perspiciatis in aliquid et natus tenetur.","Web","Enterprise-wide neutral internet solution",1983,"2016-04-06 18:23:25.892903","2016-04-06 18:23:25.892903"
43,"Wintheiser-Flatley","Prospect","20034 Hoppe Village","Monahanchester","Pennsylvania","44162-0332","United States","586.991.0115","1-105-803-4916","http://example.com/martin_funk","https://pigment.github.io/fake-logos/logos/medium/color/9.png","Books & Music",3951611,80185,"Other","Non sapiente laboriosam numquam vel rem. Adipisci ea voluptatem. Id reiciendis est corrupti sunt reprehenderit culpa placeat.","Web","Cross-platform solution-oriented leverage",2003,"2016-04-06 18:23:25.89345","2016-04-06 18:23:25.893451"
44,"Beatty Group","Prospect","38244 Adriana Mountains","Aleenside","Louisiana","16896-1511","United States","1-175-967-2554","372.254.0229 x646","http://example.com/turner","https://pigment.github.io/fake-logos/logos/medium/color/8.png","Sports & Kids",4800183,38542,"Subsidiary","Velit sit et accusantium. Quas illo dignissimos a sit sunt dolores perferendis. Quis eum totam similique rerum sint. Asperiores corporis quibusdam autem sit magni vero nihil. Accusantium tenetur consequuntur dolores occaecati.","Purchased List","Versatile transitional portal",1999,"2016-04-06 18:23:25.893953","2016-04-06 18:23:25.893954"
45,"Runolfsdottir Group","Prospect","34420 O'Kon Vista","Rashadtown","Vermont","12138-2217","United States","(243) 485-6997","1-901-113-2694","http://example.com/marianne.lueilwitz","https://pigment.github.io/fake-logos/logos/medium/color/4.png","Garden, Toys & Sports",5519329,80049,"Subsidiary","Eius molestiae ipsa nobis et. Unde atque aperiam quibusdam voluptatibus minus. Voluptate dolor ullam velit laboriosam placeat eos. Soluta hic suscipit ut quasi et laudantium.","Other","Exclusive zero administration protocol",1997,"2016-04-06 18:23:25.894484","2016-04-06 18:23:25.894487"
46,"Renner-Harber","Prospect","88661 Narciso Plaza","Fritschmouth","Maine","12014","United States","386.723.3311 x22908","635.330.7180 x606","http://example.com/thurman_kris","https://pigment.github.io/fake-logos/logos/medium/color/13.png","Kids",8991742,69958,"Public","Amet magnam quia voluptates deleniti et sint. Illo ut voluptatem. Quibusdam aspernatur repellat sed animi qui. Aspernatur soluta amet nostrum sint pariatur. Deserunt illum non quod explicabo suscipit ullam alias.","Purchased List","Ergonomic explicit implementation",1991,"2016-04-06 18:23:25.895037","2016-04-06 18:23:25.895038"
47,"Stanton-Feil","Prospect","2567 Gutkowski Ford","Romagueraside","Oklahoma","32625-6793","United States","618.559.0371","(239) 080-6093 x3340","http://example.com/delmer.kub","https://pigment.github.io/fake-logos/logos/medium/color/12.png","Home, Garden & Industrial",9437173,90367,"Public","Nesciunt iste eligendi. Rerum atque eum rem recusandae. Voluptas vero eligendi est autem.","Web","Adaptive cohesive internet solution",2013,"2016-04-06 18:23:25.895562","2016-04-06 18:23:25.895563"
48,"Weissnat Inc","Prospect","13102 Prince Parks","Nitzschehaven","Kentucky","93481","United States","308-506-8669","906.010.3643 x617","http://example.com/loren_bauch","https://pigment.github.io/fake-logos/logos/medium/color/2.png","Clothing & Music",2381683,88982,"Public","Sit quo qui. Sit cumque et quos rerum sint non iste. Beatae non molestias et eius dolore.","Other","Pre-emptive well-modulated function",1994,"2016-04-06 18:23:25.896075","2016-04-06 18:23:25.896076"
49,"Lueilwitz LLC","Prospect","3663 Weimann Branch","Kaitlynside","Montana","71242-9434","United States","1-668-711-9015 x685","576-573-9551","http://example.com/gardner_green","https://pigment.github.io/fake-logos/logos/medium/color/10.png","Books",3742036,63103,"Public","Eos itaque et cupiditate. Mollitia earum officia ut aliquid aspernatur eum. Veniam deleniti sed eos quo nihil libero fugit. Quod sint et in qui minus doloribus quo. Quod debitis et odit reprehenderit id repudiandae nihil.","Phone Inquiry","Streamlined transitional alliance",2003,"2016-04-06 18:23:25.896647","2016-04-06 18:23:25.896648"
50,"Ritchie-Ryan","Prospect","17079 Stiedemann Gateway","Feestview","Nebraska","23505","United States","947-763-4757","1-477-230-5884","http://example.com/katlynn_gerhold","https://pigment.github.io/fake-logos/logos/medium/color/3.png","Toys, Computers & Automotive",9861778,24737,"Private","Autem labore quia et culpa. Excepturi atque debitis vel explicabo aut ut. Doloribus magni corrupti voluptatibus quaerat eveniet consequatur voluptatem. Iusto delectus est numquam temporibus nihil sunt. Ratione ut exercitationem maxime voluptatum.","Purchased List","Networked analyzing strategy",2001,"2016-04-06 18:23:25.897312","2016-04-06 18:23:25.897313"
51,"Wisoky and Sons","Prospect","3266 Tillman Union","South Bradyburgh","Montana","69186","United States","(195) 119-8567","465.358.9725 x4475","http://example.com/mariano","https://pigment.github.io/fake-logos/logos/medium/color/12.png","Books, Automotive & Kids",4881302,52223,"Public","Quae quod ut. Deleniti delectus animi accusantium voluptas placeat voluptatem. At corporis totam ea sit sint facere. Eaque non beatae. Quis autem voluptate eos ullam ut odio.","Partner Referral","Grass-roots human-resource initiative",2014,"2016-04-06 18:23:25.897999","2016-04-06 18:23:25.897999"
52,"Hoeger, Stanton and Mueller","Prospect","2616 Sage Ferry","Hegmannfurt","Nebraska","34276","United States","553.493.4105 x831","1-699-390-3785","http://example.com/kiarra","https://pigment.github.io/fake-logos/logos/medium/color/8.png","Garden, Grocery & Computers",2617855,57878,"Subsidiary","At magnam enim. Tempore excepturi quos voluptatem quae. Eos dolor perspiciatis voluptatibus veritatis. Omnis nesciunt sit asperiores vitae maiores. Explicabo et ut excepturi enim.","Partner Referral","Profound interactive collaboration",1977,"2016-04-06 18:23:25.898542","2016-04-06 18:23:25.898543"
53,"Heller and Sons","Prospect","56585 Kohler Run","Lake Dasiahaven","Oregon","67652-2292","United States","381.228.5871 x71423","1-628-056-7461 x1814","http://example.com/leslie.thiel","https://pigment.github.io/fake-logos/logos/medium/color/2.png","Clothing & Grocery",3095672,24562,"Subsidiary","Deleniti eum mollitia aspernatur rem est deserunt. Nihil odio totam voluptates velit. Est pariatur id molestiae enim nesciunt et minus. Nihil tempora odio facilis sed necessitatibus eveniet sit.","Partner Referral","Reverse-engineered analyzing capacity",1984,"2016-04-06 18:23:25.8991","2016-04-06 18:23:25.899101"
